"","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"Q53GQ0",0.0418513543563108,8.73435011258271,0.72246060285062,0.472038155281515,0.815867258651679,-6.59337439874308,"unchanged"
"P18206",0.0418392699090493,12.6000920492821,0.692523396423992,0.490538023611221,0.828375055689772,-6.61444710355301,"unchanged"
"Q8TDG4",-0.0418351612266399,6.50575273163035,-0.481733366872764,0.631260704568346,0.897130676203242,-6.73779514185155,"unchanged"
"Q9NYY8",0.0418188451667447,9.72499853621346,0.671966748515702,0.503467460514428,0.836297995579784,-6.62840644646299,"unchanged"
"Q7Z3B3",0.0418134351349,7.16416990725593,0.657300039448456,0.512803150590582,0.84040568919444,-6.63811181284387,"unchanged"
"Q9UGU0",0.0417944994107433,8.20983179109976,0.700803112026649,0.485382154845005,0.824874201531888,-6.60870717237502,"unchanged"
"Q8TBZ0",-0.0417667580044183,7.1661990647948,-0.516591036352826,0.606812745902446,0.88607133176071,-6.72043119947259,"unchanged"
"O75396",-0.0417493866751872,11.873142075897,-0.744656680131683,0.458578502159765,0.806056655948231,-6.5771823434805,"unchanged"
"Q9H444",0.041748860442441,12.130761696954,0.750544835008868,0.455045044641704,0.802928365788679,-6.57280579873303,"unchanged"
"Q86TG7",-0.0417479498117395,9.57870935620284,-0.612256134482915,0.542038790494288,0.856949451977477,-6.66659289434844,"unchanged"
"Q9Y2K9",-0.0417304802887406,6.35171716952194,-0.347624516007315,0.729000500650399,0.935974788944684,-6.79334235297503,"unchanged"
"O00154",0.041727924342009,9.34659624779843,0.643012142189662,0.521985281690191,0.845147674246929,-6.64736269276926,"unchanged"
"P27348",0.041706474748084,12.6068829254222,0.677281396453544,0.500107257684431,0.834801336358924,-6.6248373078571,"unchanged"
"Q9UJY5",-0.0417054482145112,9.05086895434272,-0.684812111473173,0.4953667592442,0.831434242406455,-6.61973232291837,"unchanged"
"Q13895",0.0416848437327122,10.601487303139,0.709733098704921,0.479854999151412,0.820753611574503,-6.6024408882162,"unchanged"
"Q9NWF9",-0.0416808643544684,6.29498169895014,-0.582968912499815,0.561491772241349,0.867865447550442,-6.68403659528657,"unchanged"
"P61964",0.0416584901358519,8.8881677124258,0.596892361330319,0.552200851962141,0.863055281272117,-6.67584935823251,"unchanged"
"Q9UJX5",-0.041625137622173,8.85851461455765,-0.787011521332931,0.433512314581874,0.791292998287936,-6.544943964844,"unchanged"
"Q8TEU7",-0.0415822302553188,8.56212894355315,-0.61619600981494,0.539448220964535,0.855625468432585,-6.66418161923277,"unchanged"
"Q96EB6",-0.0415794165659813,7.47431596168263,-0.737366229402881,0.462975094540268,0.809389334979048,-6.58255406064733,"unchanged"
"Q9Y2I7",-0.0415630628903658,7.74813706146599,-0.571047219954368,0.569507644783329,0.870943468473922,-6.69089445743686,"unchanged"
"Q96BW1",0.0415238599366017,7.57322918648641,0.649828126148194,0.517594271006851,0.843332564804008,-6.64297469724525,"unchanged"
"Q9HBH5",-0.0414982128598647,7.18921609132975,-0.609871780258636,0.543609628093288,0.856949451977477,-6.66804471796927,"unchanged"
"Q8TBQ9",0.0414727370917598,7.87906540388635,0.434428578835847,0.665102389268379,0.909214333779816,-6.75943036360957,"unchanged"
"P03905",0.0414684328245025,7.72510630089769,0.599902095154675,0.550202644852375,0.861547158281815,-6.67405439895148,"unchanged"
"P18858",0.0414627321320982,9.88865732319141,0.715995276494202,0.476000006249471,0.818205166267994,-6.59799988854164,"unchanged"
"Q9Y496",0.0414464965588515,8.04898060468244,0.695650157500224,0.488587440047193,0.826317359825964,-6.61228739218266,"unchanged"
"Q99720",-0.041445446247768,7.40665345330959,-0.581578644479851,0.562423688722603,0.867865447550442,-6.68484357533843,"unchanged"
"Q7Z4H8",0.0414360505609235,8.05754955653622,0.664450463031178,0.508240301509919,0.837028092168646,-6.63340664919236,"unchanged"
"O94986",-0.0414167684102003,7.03497799231826,-0.770478266749496,0.443199631168678,0.795090449894067,-6.55773737829807,"unchanged"
"O14519",-0.0413281295623484,9.17574844843557,-0.453849684859434,0.651119244157812,0.903795485069221,-6.75081694244147,"unchanged"
"Q9UPN9",-0.0413246730398367,8.69370133125822,-0.696588105855121,0.488003145875536,0.826317359825964,-6.61163765918531,"unchanged"
"O15228",0.041317282807019,8.00358966935387,0.699926775629523,0.4859264419935,0.825278039613716,-6.60931788451802,"unchanged"
"Q9BQ69",0.0413078829666471,11.2919673677166,0.766167639974762,0.445745905835658,0.796046732675916,-6.56102893962067,"unchanged"
"Q0ZGT2",0.0412773800017892,8.13616397590689,0.695869455604543,0.488450794090294,0.826317359825964,-6.61213555810073,"unchanged"
"P60763",0.0412610754623088,6.9483011390649,0.657644258530374,0.512582999620915,0.84040568919444,-6.63788646188623,"unchanged"
"P42338",0.041217950258206,5.94376135101998,0.393024125670104,0.695307365639643,0.923370514304259,-6.77654149015034,"unchanged"
"Q4KMP7",0.0411302637794524,8.00013224361413,0.610179777454453,0.543406586653676,0.856949451977477,-6.6678574954714,"unchanged"
"Q9Y653",-0.0411214761995602,8.07534597503975,-0.667164136484518,0.506514336481841,0.836732048256553,-6.63160779771826,"unchanged"
"Q13158",-0.0411210158086117,8.27684057095967,-0.53991495112596,0.59069858517142,0.880070378831763,-6.70813997096203,"unchanged"
"P42773",0.0411197356621731,8.67152429789444,0.612928661399701,0.541596139878529,0.856763924495966,-6.66618238045034,"unchanged"
"P27987",0.041092965095654,4.85812135340619,0.588482060273459,0.557803734131157,0.866760500340369,-6.68081767995725,"unchanged"
"Q9BTE3",0.0410834093382615,10.2157550996537,0.657367421013572,0.51276005165503,0.84040568919444,-6.63806770913892,"unchanged"
"Q9NXW9",0.0410769919272536,7.40895297321779,0.663288422288254,0.50898034813629,0.837295773153855,-6.63417472969744,"unchanged"
"Q9NYK6",-0.0410700091046019,6.9423197700876,-0.51953320441064,0.604769050150525,0.885830920174237,-6.71891044883775,"unchanged"
"Q9NVX2",0.0409993125329571,9.71900831580151,0.570841184545164,0.569646665703577,0.870943468473922,-6.69101174211305,"unchanged"
"Q96FK6",-0.0409797556330522,7.47976697884479,-0.62317737747911,0.534873348944908,0.853266690348755,-6.65987126201686,"unchanged"
"Q93052",-0.0409763773902707,11.2229408797469,-0.674485472357851,0.501873477876248,0.835719254220039,-6.62671842289218,"unchanged"
"P98160",0.0409688039561491,8.4575750996711,0.661466255052509,0.510141953298891,0.838388055821749,-6.6353764594058,"unchanged"
"Q6PL18",-0.0409668360278559,8.96951716687982,-0.737347032154406,0.462986703167691,0.809389334979048,-6.58256813663325,"unchanged"
"Q9BUN8",0.0409387442198792,9.49867306489127,0.550603925105746,0.58338130480767,0.87617989822547,-6.70232703417073,"unchanged"
"Q9BZE9",0.0409367907616902,7.14358001559907,0.624131447467392,0.53424970013604,0.852897438334266,-6.65927847463057,"unchanged"
"P19474",-0.0409359093529051,8.4155330116268,-0.618349339730879,0.538035023979917,0.854835807531093,-6.66285726562431,"unchanged"
"Q68DK7",0.0409030358689719,8.3951645018386,0.647096603968858,0.519351639536268,0.8442982456225,-6.6447386965415,"unchanged"
