"PG.ProteinGroups","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"Q6YHK3",0.965601412127323,6.20562014447098,6.01755794265524,3.41902051578606e-07,4.25545355900149e-06,6.51803101198836,"unchanged"
"Q9H3R0",-0.965247057014817,4.71249140449591,-5.56376895327718,1.55964427051581e-06,1.27392915579503e-05,5.05550435128367,"unchanged"
"Q9BUZ4",0.964842460966344,7.40222394816457,5.97583882162607,3.93221804839876e-07,4.71049551536499e-06,6.38316727174422,"unchanged"
"Q9BZI7",-0.964811128594105,10.9215843336994,-5.58468193632573,1.45461379608251e-06,1.20856594194095e-05,5.12262719501752,"unchanged"
"P46020",0.964485848730114,6.8389054210012,6.18075658212677,1.97777541264523e-07,2.94600484839056e-06,7.04603528746873,"unchanged"
"Q6PJ69",-0.964367239835064,7.10519986709781,-6.00854775246955,3.52387512991057e-07,4.32358106559831e-06,6.48889943896736,"unchanged"
"Q53EU6",-0.964149264081711,8.07594160653573,-5.37821295666843,2.89119776766669e-06,2.09252148796701e-05,4.46158675969109,"unchanged"
"Q96FV2",-0.964059070812588,7.92798844836684,-6.66917163998402,3.84346322717839e-08,1.14320358877191e-06,8.62705384208421,"unchanged"
"Q8WZ42",0.963559953315571,8.40234495656538,6.35567598009242,1.09970234758024e-07,2.06678505843409e-06,7.61238359093261,"unchanged"
"O60784",0.963459620066441,9.95293208727762,6.41878351036762,8.89856175573554e-08,1.85632107225764e-06,7.81672850832861,"unchanged"
"Q86SF2",0.963122983997023,9.18110578602712,6.23231793817409,1.66357422911293e-07,2.67000594447479e-06,7.21295426938162,"unchanged"
"Q8NB15",0.963094031377054,6.23500538975485,5.47781956406184,2.07647855142151e-06,1.59993683957624e-05,4.78001549052029,"unchanged"
"P61165",-0.963047779668058,8.67951229458467,-4.288477015393,9.95569679951791e-05,0.000528721651153884,1.07410501869335,"unchanged"
"Q9P2F8",0.962996658746399,5.44603920036631,4.90795365552942,1.36113064171968e-05,8.10486822091907e-05,2.97412737024045,"unchanged"
"Q14186",0.962915709087448,6.90105402216189,5.20496808379354,5.13085897238592e-06,3.39570520815118e-05,3.91023756753663,"unchanged"
"P00746",-0.962450716443467,5.86538247061061,-4.42052373430274,6.55533642294444e-05,0.000354191748715489,1.47182456122709,"unchanged"
"O14975",-0.962424134125143,8.66061792711872,-5.56769805769282,1.53935196640909e-06,1.25971992058256e-05,5.06811268886479,"unchanged"
"Q8IV08",-0.962366578880049,9.95951581216096,-5.76174526431175,8.05288716720857e-07,7.79222085289737e-06,5.69217689161902,"unchanged"
"P40261",-0.962306597057315,11.1519184891118,-5.41152270143787,2.58847911146996e-06,1.91570266674298e-05,4.56796679948342,"unchanged"
"Q13416",0.962148928163735,8.90855469096359,5.44122790653983,2.34517819893198e-06,1.77397436108776e-05,4.66292700302009,"unchanged"
"Q9UMZ2",0.961580256240833,8.20297630225353,5.80627185192625,6.93852215070666e-07,7.00211185487207e-06,5.83570765257006,"unchanged"
"Q96JB2",0.961530092205038,7.58703064202846,5.85085971954897,5.97664596075211e-07,6.2339140542665e-06,5.97953918543501,"unchanged"
"O75937",-0.961418067573803,12.4703025355477,-5.85620627437533,5.87061991539751e-07,6.17515388682502e-06,5.99679258671323,"unchanged"
"Q96RL1",-0.961345573379363,8.736604388876,-5.50120113770151,1.92103407865984e-06,1.50279455487967e-05,4.85489675538727,"unchanged"
"Q9NQV5",-0.961321810994738,7.4467005102455,-4.41198170037784,6.73573452366828e-05,0.000363487311547086,1.44596206382568,"unchanged"
"Q9Y281",0.961310171052011,11.2027401547337,5.96587932131461,4.06568881596479e-07,4.80535693071708e-06,6.35098014837658,"unchanged"
"Q16222",-0.96108378049656,10.5413914751668,-6.41489239480741,9.0154876304266e-08,1.85842954732419e-06,7.80412941214215,"unchanged"
"Q86YM7",0.961024567877504,7.07466727578453,6.46914712396359,7.51529628868885e-08,1.69830817471788e-06,7.9797912613981,"unchanged"
"Q96CT7",-0.960961210188938,11.547255524975,-5.94200810337183,4.40428190951567e-07,5.06783708080381e-06,6.27384756928875,"unchanged"
"Q9HBD1",-0.960876434986407,7.93781071070076,-5.75436462265062,8.25410343948783e-07,7.94007087650752e-06,5.66839612947478,"unchanged"
"Q9Y3C5",0.960725211314824,6.84057680901187,5.48497504976307,2.02762574300853e-06,1.56785034119389e-05,4.80292633884203,"unchanged"
"O94855",0.960606410042372,9.95663979729523,6.13041320801541,2.34168071929977e-07,3.29703189096507e-06,6.88309658847869,"unchanged"
"Q9HBE1",-0.960551276704216,6.9941953639704,-5.98295257504245,3.83956912410458e-07,4.61894589718352e-06,6.40615959658785,"unchanged"
"P11388",0.960468888248357,10.8574861399955,5.46822399712564,2.14383024041113e-06,1.63925475597309e-05,4.74929906980092,"unchanged"
"Q9BY77",-0.960375692313493,11.2058694381867,-5.97257578453026,3.97545853218639e-07,4.74757097301055e-06,6.37262140542633,"unchanged"
"Q9Y6Y8",0.960333032427249,9.56685973382067,5.28393481960931,3.95182494577073e-06,2.70897755738846e-05,4.1611246117046,"unchanged"
"Q10713",0.960324291797805,10.8955543604015,7.5384509625211,2.12477222258094e-09,3.43364969801084e-07,11.4210590319035,"unchanged"
"Q969N2",0.960244769149041,8.63762394474867,5.7945653351851,7.21567348598401e-07,7.18182421677059e-06,5.7979615070903,"unchanged"
"Q9NQ11",-0.959931545021202,6.32232600951247,-5.13801309260224,6.39897113771464e-06,4.10809224553356e-05,3.6981210670826,"unchanged"
"Q9Y4R8",0.959862503850343,7.69656791117245,5.56243489919821,1.56659443817798e-06,1.27601170577811e-05,5.05122370390209,"unchanged"
"Q96C90",-0.959437879986613,11.1541846939235,-5.50434549223307,1.90103163598583e-06,1.48848552668234e-05,4.86497044764289,"unchanged"
"Q9UJ68",0.959370771695282,8.09971285191553,6.22609199162109,1.69869313911335e-07,2.71136359947652e-06,7.1927974436508,"unchanged"
